frame_n,volumen,superficie
1,,
2,945032.5681234044,71280.22368155558
3,2486651.7704741578,75363.44214532887
4,4240453.175674255,103627.07076931681
5,6435248.211753507,132880.80489764363
6,8794501.542573305,163395.60466365505
7,10793456.690894503,191661.51530458053
8,13307829.176164307,225504.5248346832
9,15280770.275452016,261854.48341134956
10,16294211.03496112,304393.15864376846
11,16460012.803882083,312297.72544947907
12,15552114.708814176,298778.51599866536
13,16656351.095342992,314750.812881687
14,15741712.517909022,301552.9256523943
15,15789133.937654482,303842.1029606426
16,15858751.024893261,302412.26861170854
17,15718725.293246392,303401.66043741186
18,15792558.099211913,298141.3469034868
19,14959882.220638128,250143.61043068164
20,15707541.152480034,269391.4043551123
21,14950506.955869865,252888.38817787907
22,14941232.47827635,252777.92881486882
23,15196286.014817588,282754.4337221596
24,15494617.517530268,290525.72736960487
25,15630439.129371215,257889.14625965664
26,15717579.000315182,267623.5693024046
27,15662788.55450776,267943.9056585559
28,15416797.745669663,266119.1162349454
29,15347746.75004449,272545.1316418751
30,14938638.891426552,287322.1618934778
31,15852388.092583409,299933.9767338827
32,15579259.447861295,299159.8230877976
33,15465091.98175406,298495.16063059255
34,15377970.454448463,297648.7781524948
35,16139235.062894896,306249.03526132874
36,15958359.923546314,306342.6729781371
37,15574506.52722955,301350.143575192
38,16402879.93684843,311926.4439534499
39,15314298.86385316,296276.6741681259
40,15953551.877904136,304654.5217936997
41,15542255.863972772,300272.13360039133
42,15450248.048012853,295803.1640329148
43,15251638.875195758,293426.4282282978
44,15888169.106018234,301713.50431608787
45,15366383.582779964,294337.4047426508
46,15385579.033447606,290192.82545741316
47,15020868.693338031,288173.6485812667
48,15583155.541888531,295798.17766478134
49,15282154.000500584,289112.6365712716
50,15238000.485189976,291774.98859060596
51,15812466.833502522,298426.38507650467
52,15618653.294204248,290573.261346993
53,15385132.493936604,292764.72158753796
54,16153427.818411795,301176.5814239363
55,15886270.493095063,297659.80534211156
56,15753658.307310525,299145.9426725737
57,15373823.110293398,295019.6237398855
58,15343391.092872052,293935.40861478035
59,16138859.801386891,298196.9472582036
60,15055907.039647888,285771.6463262124
61,15480880.75783314,293263.00047390733
62,15504510.158406148,292337.1178050133
63,16346669.285000425,302521.73514598527
64,16173372.102337811,299947.1005326319
65,15055300.014243236,287087.4139442953
66,14968179.628668427,281321.9119111428
67,15585138.115179257,298676.62164658454
68,15447566.959542284,292833.22809987026
69,15581706.14580491,293189.09519243735
70,15559260.813769886,297070.5034418227
71,15368323.467789225,290058.39404015493
72,15354689.106544018,293811.4200604625
73,15279407.036303593,292547.1644161521
74,15284815.767834337,288589.6097810655
75,15216711.537338661,287708.5869232564
76,16144667.060774261,297769.4631502334
77,16138002.273675801,298115.33419304586
78,16052792.094633812,302063.85838801163
79,15141377.38080352,286374.46680236957
80,15018908.41710368,289527.3138783672
81,15873705.702437384,300336.93614927685
82,15941162.245507821,300798.7200438578
83,15923239.18876302,300837.38913663116
84,16001813.717389857,297209.6992846065
85,16023739.569255546,296888.4551208627
86,16028034.379707385,297496.9227566319
87,16039346.476905335,297020.9761367184
88,16038887.98017366,302868.41147651384
89,16043373.775134625,297490.40497990366
90,15077444.966678191,282186.62622000865
91,16041547.632831298,297956.5740714512
92,16119106.107381677,298472.82135962177
93,16076132.662144678,298090.4081645382
94,15996044.759652812,302658.9152659044
95,15946851.485701002,297339.750818225
96,16044113.179438429,292868.58793826884
97,15974186.023560971,298434.12036426755
98,15963881.011770213,298326.4745135537
99,15930910.177381912,297731.5180762734
100,15974186.023560971,298434.12036426755
101,15986247.106848532,297953.2581882001
102,15960279.823072758,298253.24920141604
103,16023672.618949529,292695.85508712364
104,15944451.801377939,297294.5910241106
105,15958474.985118987,297231.82669152884
106,15103056.615480557,282454.9950685038
107,15910235.455265572,297455.84445400536
108,16029225.078952579,292545.57635450526
109,15913580.010032013,297567.0450064692
110,16023797.284914363,292203.4099755004
111,15953973.165137399,297108.0521111897
112,15944955.450002268,296946.8557420091
113,15926246.636661058,297088.5830010572
114,15998025.669569474,291798.6892691523
115,16024471.923640454,292643.7662829142
116,15978566.531792283,297593.8420909345
117,15940475.789117264,297003.738107971
118,15995560.433557712,297568.9646714903
119,14986578.99472395,285805.49566132895
120,15935771.089703733,297042.5614706476
121,16012685.790125774,292512.2522121776
122,15971154.893459687,297189.3647371741
123,15880019.997935038,296447.68731810985
124,15883483.537640208,296438.55533723615
125,15969792.729784735,291932.47256999323
126,15942799.922242844,297002.65097895317
