Tiempo en µs,x_pixeles,y_pixeles
0,92,126.845
48.6902,91.9891,124.739
97.3805,92.2087,122.817
146.071,91.7328,120.588
194.761,91.302,118.617
243.451,91.9695,116.079
292.141,91.7919,112.734
340.832,92.1714,108.6
389.522,92.4911,102.639
438.212,92.3871,94.4581
486.902,92.0196,87.2418
535.593,91.3608,79.8481
584.283,92.1494,71.9545
632.973,91.7368,64.5592
681.663,91.9548,56.9484
730.353,91.7403,49.9156
779.044,91.2781,41.9536
827.734,91.7296,33.9057
876.424,90.8649,23.9568
925.114,91.8343,20.3886
973.805,90.6768,16.3598
1022.49,90.6231,18.1106
1071.19,90.7638,18.8794
1119.88,91.1799,19.8677
1168.57,91.163,20.288
1217.26,91.1607,20.8452
1265.95,91.8563,22.7529
1314.64,91.8427,24.1404
1363.33,91.2917,27.0595
1412.02,91.9264,28.7423
1460.71,92.3484,31.0968
1509.4,92.4276,33.0066
1558.09,92.7152,34.6026
1606.78,92.6483,35.2138
1655.47,93.1986,36.1918
1704.16,93.2759,36.6966
1752.85,93.6284,36.7365
1801.54,94.0135,36.2297
1850.23,93.723,35.8243
1898.92,94.2819,35.8054
1947.61,94.3469,35.4626
1996.3,94.4759,34.7241
2044.99,94.6733,34.1933
2093.68,95.5461,33.3224
2142.37,95.4052,32.4641
2191.06,95.9299,31.3121
2239.75,95.8671,30.2658
2288.44,96.7346,29.9321
2337.13,96.227,28.9877
2385.82,96.6012,28.9693
2434.51,97.628,28.9146
2483.2,97.8503,29.0359
2531.89,97.8333,29.7469
2580.58,98.0976,29.8841
2629.27,98.0926,30.2037
2677.96,98.3711,30.434
2726.65,98.4204,30.6943
2775.34,98.546,30.7117
2824.03,99.1481,30.3148
2872.72,98.8931,30.4528
2921.41,99.2313,30.55
2970.1,99.4843,30.3962
3018.79,100.025,30.4688
3067.48,100.025,30.2375
3116.17,99.9623,30.3836
3164.87,99.8272,30.1914
3213.56,100.265,30.142
3262.25,100.34,30.4151
3310.94,100.34,30.4277
3359.63,100.95,30.5813
3408.32,100.606,30.3375
3457.01,100.862,30.5346
3505.7,100.876,30.1491
3554.39,100.534,30.4037
3603.08,100.938,30.4286
3651.77,101.354,30.1739
3700.46,101.2,30.3375
3749.15,101.354,30.1739
3797.84,100.988,29.9565
3846.53,100.975,30.1242
3895.22,101.216,30.037
3943.91,101.568,30.3025
3992.6,101.173,30.0988
4041.29,101.031,30.2516
4089.98,101.73,30.1288
4138.67,101,29.9193
4187.36,101.549,30.0062
4236.05,101.391,30.1739
4284.74,101.156,30.0437
4333.43,100.75,30.0063
4382.12,101.13,29.7778
4430.81,101.5,29.9753
4479.5,101.354,30.1304
4528.19,101.513,30.2875
4576.88,101.366,30.1056
4625.57,101.173,29.9815
4674.26,101.481,30.2813
4722.95,101.5,30.2875
4771.64,101.117,30.3148
4820.33,101.506,30.275
4869.02,101.36,30.1056
4917.71,101.815,30.2654
4966.4,101.125,30.225
5015.09,101.354,30.1056
5063.78,101.34,30.1258
5112.47,100.95,29.9193
5161.16,101.117,30.321
5209.85,101.36,30.1118
5258.55,101.329,30.1366
5307.24,101.006,30.1411
5355.93,101.169,30.3125
5404.62,101.494,30.275
5453.31,101.191,30.2778
5502,101.086,30.2407
5550.69,101.206,30.3125
5599.38,101.358,30.4591
5648.07,101.317,30.441
5696.76,101.494,30.284
5745.45,100.95,30.0497
5794.14,101.329,30.1429
5842.83,101.36,30.118
5891.52,101.093,30.2284
5940.21,101.123,30.1914
5988.9,101.111,30.2593
6037.59,101.08,30.0062
6086.28,101.264,30.0798
